channel_group,reservations,attendees,attendee_headcount,coupon_buyers,coupon_redeemers,enrolled_customers,target_course_customers,enrolled_courses,gmv,strong_related_gmv,attendance_rate,attendee_to_purchase_rate,purchase_to_redemption_rate,attendee_to_redemption_rate,reservation_to_redemption_rate
Headquarters,934,438,523,49,33,0,0,0,816650,504480,0.469,0.1119,0.6735,0.0753,0.0353
Campus,640,336,391,64,58,0,0,0,1130676,931720,0.525,0.1905,0.9063,0.1726,0.0906
Zhiban Community,278,114,136,7,1,0,0,0,81320,21250,0.4101,0.0614,0.1429,0.0088,0.0036
Other,92,2,2,2,2,0,0,0,122330,28630,0.0217,1,1,1,0.0217
Zhiban Channel,37,15,19,5,3,0,0,0,69030,49780,0.4054,0.3333,0.6,0.2,0.0811
Headquarters Livestream,25,5,5,0,0,0,0,0,0,0,0.2,0,NULL,0,0
Brand,12,6,9,0,0,0,0,0,0,0,0.5,0,NULL,0,0
Modu Education Community,11,4,4,0,0,0,0,0,0,0,0.3636,0,NULL,0,0
Qianfan,10,4,4,0,0,0,0,0,0,0,0.4,0,NULL,0,0
Chen Wuji,8,2,5,0,0,0,0,0,0,0,0.25,0,NULL,0,0
Teacher Wang,5,1,1,1,1,0,0,0,21250,21250,0.2,1,1,1,0.2
Cheng Dashuai,3,1,1,1,1,0,0,0,12070,12070,0.3333,1,1,1,0.3333
Hatong,2,1,1,0,0,0,0,0,0,0,0.5,0,NULL,0,0
Xiling,2,1,1,0,0,0,0,0,0,0,0.5,0,NULL,0,0
Channel Y,1,1,2,0,0,0,0,0,0,0,1,0,NULL,0,0
Teaching Team,1,1,1,0,0,0,0,0,1680,0,1,0,NULL,0,0
